,age,answer,count,total,value
0,16- 20,Non pas du tout,97,3031,0.0320026393929
1,16- 20,Non pas vraiment,356,3031,0.117452985813
2,16- 20,Oui plutôt,1098,3031,0.362256680963
3,16- 20,Oui tout à fait,1480,3031,0.48828769383
4,21-25,Non pas du tout,64,3102,0.0206318504191
5,21-25,Non pas vraiment,259,3102,0.0834945196647
6,21-25,Oui plutôt,1093,3102,0.352353320438
7,21-25,Oui tout à fait,1686,3102,0.543520309478
8,26-30,Non pas du tout,44,2730,0.0161172161172
9,26-30,Non pas vraiment,173,2730,0.06336996337
10,26-30,Oui plutôt,1046,2730,0.38315018315
11,26-30,Oui tout à fait,1467,2730,0.537362637363
12,31-35,Non pas du tout,32,2999,0.0106702234078
13,31-35,Non pas vraiment,183,2999,0.0610203401134
14,31-35,Oui plutôt,1092,2999,0.364121373791
15,31-35,Oui tout à fait,1692,2999,0.564188062688
16,36-40,Non pas du tout,53,3123,0.0169708613513
17,36-40,Non pas vraiment,192,3123,0.0614793467819
18,36-40,Oui plutôt,1193,3123,0.382004482869
19,36-40,Oui tout à fait,1685,3123,0.539545308998
20,41-45,Non pas du tout,48,3402,0.0141093474427
21,41-45,Non pas vraiment,180,3402,0.0529100529101
22,41-45,Oui plutôt,1373,3402,0.403586125808
23,41-45,Oui tout à fait,1801,3402,0.529394473839
24,46-50,Non pas du tout,48,3679,0.0130470236477
25,46-50,Non pas vraiment,221,3679,0.0600706713781
26,46-50,Oui plutôt,1411,3679,0.383528132645
27,46-50,Oui tout à fait,1999,3679,0.543354172329
28,51-55,Non pas du tout,72,4545,0.0158415841584
29,51-55,Non pas vraiment,270,4545,0.0594059405941
30,51-55,Oui plutôt,1744,4545,0.383718371837
31,51-55,Oui tout à fait,2459,4545,0.54103410341
32,56-60,Non pas du tout,55,4806,0.011444028298
33,56-60,Non pas vraiment,263,4806,0.0547232625884
34,56-60,Oui plutôt,1771,4806,0.368497711194
35,56-60,Oui tout à fait,2717,4806,0.565334997919
36,61 -65,Non pas du tout,52,4953,0.010498687664
37,61 -65,Non pas vraiment,275,4953,0.0555219059156
38,61 -65,Oui plutôt,1803,4953,0.364021804967
39,61 -65,Oui tout à fait,2823,4953,0.569957601454
40,66-70,Non pas du tout,38,3784,0.0100422832981
41,66-70,Non pas vraiment,205,3784,0.0541754756871
42,66-70,Oui plutôt,1462,3784,0.386363636364
43,66-70,Oui tout à fait,2079,3784,0.549418604651
44,71-75,Non pas du tout,41,1679,0.0244192972007
45,71-75,Non pas vraiment,89,1679,0.053007742704
46,71-75,Oui plutôt,680,1679,0.405002977963
47,71-75,Oui tout à fait,869,1679,0.517569982132
48,76-80,Non pas du tout,9,593,0.0151770657673
49,76-80,Non pas vraiment,35,593,0.0590219224283
50,76-80,Oui plutôt,237,593,0.399662731872
51,76-80,Oui tout à fait,312,593,0.526138279933
52,Je préfère ne pas répondre,Non pas du tout,10,172,0.0581395348837
53,Je préfère ne pas répondre,Non pas vraiment,13,172,0.0755813953488
54,Je préfère ne pas répondre,Oui plutôt,58,172,0.337209302326
55,Je préfère ne pas répondre,Oui tout à fait,91,172,0.529069767442
56,Plus de 80 ans,Non pas du tout,10,361,0.0277008310249
57,Plus de 80 ans,Non pas vraiment,22,361,0.0609418282548
58,Plus de 80 ans,Oui plutôt,148,361,0.409972299169
59,Plus de 80 ans,Oui tout à fait,181,361,0.501385041551
