,revenu,answer,count,total,value
0,Je préfère ne pas répondre,non,986,8940,0.11029082774
1,Je préfère ne pas répondre,oui,7954,8940,0.88970917226
2,Jusqu'à 9 700 euros,non,437,5274,0.0828593098218
3,Jusqu'à 9 700 euros,oui,4837,5274,0.917140690178
4,au-delà de 152 108 euros,non,31,195,0.158974358974
5,au-delà de 152 108 euros,oui,164,195,0.841025641026
6,de 26 791 à 71 826 euros,non,1406,12378,0.11358862498
7,de 26 791 à 71 826 euros,oui,10972,12378,0.88641137502
8,de 71 826 à 152 108 euros,non,194,1413,0.137296532201
9,de 71 826 à 152 108 euros,oui,1219,1413,0.862703467799
10,de 9 700 à 26 791 euros,non,1400,14759,0.0948573751609
11,de 9 700 à 26 791 euros,oui,13359,14759,0.905142624839
